File,aid,Date,2,3,17,33,49,65,81,97,113,129,145,161,177
QC_Night_2002041_aid0001,aid0001,2002-02-10,29,1649,143.0,,,890,3072,,,,3.0,,
QC_Night_2002049_aid0001,aid0001,2002-02-18,21,1649,181.0,,,862,2628,,,,338.0,,
QC_Night_2002057_aid0001,aid0001,2002-02-26,19,1649,2.0,,,1015,3127,,,,18.0,,
QC_Night_2002065_aid0001,aid0001,2002-03-06,29,1649,31.0,,,887,3123,,,,7.0,,
QC_Night_2002073_aid0001,aid0001,2002-03-14,1765,1649,14.0,,,662,1194,,,,582.0,,
QC_Night_2002081_aid0001,aid0001,2002-03-22,1398,1649,14.0,,,799,498,,,,1428.0,,
QC_Night_2002089_aid0001,aid0001,2002-03-30,31,1649,522.0,,,677,2548,,,,32.0,,
QC_Night_2002097_aid0001,aid0001,2002-04-07,27,1649,379.0,,,665,2641,,,,87.0,,
QC_Night_2002105_aid0001,aid0001,2002-04-15,78,1649,4.0,,,1001,1499,,,3.0,1554.0,,
QC_Night_2002113_aid0001,aid0001,2002-04-23,47,1649,162.0,,,528,2859,,,,85.0,,
QC_Night_2002121_aid0001,aid0001,2002-05-01,61,1649,44.0,,,706,2195,,,,846.0,,
QC_Night_2002129_aid0001,aid0001,2002-05-09,713,1649,39.0,,,752,1424,,,,1054.0,,
QC_Night_2002137_aid0001,aid0001,2002-05-17,10,1649,70.0,,,802,2013,,,,1069.0,,
QC_Night_2002145_aid0001,aid0001,2002-05-25,1007,1649,11.0,,,909,627,,,,1594.0,,
QC_Night_2002153_aid0001,aid0001,2002-06-02,538,1649,38.0,,,888,1014,,,,1630.0,,
QC_Night_2002161_aid0001,aid0001,2002-06-10,243,1649,1037.0,,,611,1685,,,,120.0,,
QC_Night_2002169_aid0001,aid0001,2002-06-18,610,1649,,,,1025,610,,,10.0,1936.0,,
QC_Night_2002177_aid0001,aid0001,2002-06-26,71,1649,1386.0,,,577,1703,,,,,,
QC_Night_2002185_aid0001,aid0001,2002-07-04,14,1649,323.0,,,794,2825,,,,6.0,,
QC_Night_2002193_aid0001,aid0001,2002-07-12,97,1649,390.0,,,933,2293,,,,361.0,,
QC_Night_2002201_aid0001,aid0001,2002-07-20,47,1649,700.0,,,634,2305,,,1.0,6.0,,
QC_Night_2002209_aid0001,aid0001,2002-07-28,9,1649,2279.0,,,215,902,,,,,,
QC_Night_2002217_aid0001,aid0001,2002-08-05,47,1649,303.0,,,986,2387,,,,408.0,,
QC_Night_2002225_aid0001,aid0001,2002-08-13,21,1649,3018.0,,,50,139,,,,,,
QC_Night_2002233_aid0001,aid0001,2002-08-21,156,1649,137.0,,,587,2182,,,,623.0,,
QC_Night_2002241_aid0001,aid0001,2002-08-29,2523,1649,,,,493,451,,,,719.0,,
QC_Night_2002249_aid0001,aid0001,2002-09-06,10,1649,30.0,,,871,2815,,,,300.0,,
QC_Night_2002257_aid0001,aid0001,2002-09-14,89,1649,60.0,,,893,2216,,,,809.0,,
QC_Night_2002265_aid0001,aid0001,2002-09-22,69,1649,53.0,,,749,1848,,,,1217.0,,
QC_Night_2002273_aid0001,aid0001,2002-09-30,24,1649,148.0,,,945,2692,,,,246.0,,
QC_Night_2002281_aid0001,aid0001,2002-10-08,42,1649,159.0,,,690,2722,,,,252.0,,
QC_Night_2002289_aid0001,aid0001,2002-10-16,21,1649,31.0,,,928,2378,,,,757.0,,
QC_Night_2002297_aid0001,aid0001,2002-10-24,86,1649,14.0,,,962,2133,,,,893.0,,
QC_Night_2002305_aid0001,aid0001,2002-11-01,41,1649,43.0,,,962,2084,,,,965.0,,
QC_Night_2002313_aid0001,aid0001,2002-11-09,342,1649,80.0,,,834,1877,,,,861.0,,
QC_Night_2002321_aid0001,aid0001,2002-11-17,23,1649,45.0,1.0,,905,2748,3.0,,,349.0,,
QC_Night_2002329_aid0001,aid0001,2002-11-25,36,1649,59.0,,,1004,2962,2.0,,2.0,118.0,,
QC_Night_2002337_aid0001,aid0001,2002-12-03,77,1649,504.0,,,1012,2530,34.0,,,,,
QC_Night_2002345_aid0001,aid0001,2002-12-11,26,1649,207.0,96.0,,1015,2273,482.0,1.0,,62.0,1.0,
QC_Night_2002353_aid0001,aid0001,2002-12-19,27,1649,17.0,,,979,2496,4.0,,,626.0,2.0,
QC_Night_2002361_aid0001,aid0001,2002-12-27,1772,1649,,,,979,287,71.0,,,1104.0,7.0,11.0
QC_Night_2003001_aid0001,aid0001,2003-01-01,485,1649,82.0,33.0,1.0,1007,2268,159.0,42.0,,48.0,,
QC_Night_2003009_aid0001,aid0001,2003-01-09,37,1649,36.0,1.0,,1016,2958,165.0,1.0,,1.0,,
QC_Night_2003017_aid0001,aid0001,2003-01-17,102,1649,,,,967,3037,110.0,4.0,,5.0,,
QC_Night_2003025_aid0001,aid0001,2003-01-25,232,1649,16.0,,,929,2371,,,,678.0,,
QC_Night_2003033_aid0001,aid0001,2003-02-02,59,1649,207.0,,,982,2922,,,,32.0,,
